OBJECT_NAME,NORAD_CAT_ID,COUNTRY,cluster,orbit_type,inclination,mean_motion,cluster_mean_motion,diff_from_cluster_mean,explanation
FSW-2 2 DEB,23181,PRC,0,LEO,1.096679380819889,15.7527516,14.787722438177877,0.9650291618221232,"FSW-2 2 DEB (NORAD 23181) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.097 deg, mean_motion=15.753 rev/day, cluster_mean_mean_motion=14.788, diff=0.965"
CZ-3 R/B,23186,PRC,0,LEO,0.46321736479630304,16.07972329,14.787722438177877,1.2920008518221238,"CZ-3 R/B (NORAD 23186) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.463 deg, mean_motion=16.080 rev/day, cluster_mean_mean_motion=14.788, diff=1.292"
CZ-2E R/B,23228,PRC,0,LEO,0.4859956568640811,16.2036444,14.787722438177877,1.415921961822125,"CZ-2E R/B (NORAD 23228) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.486 deg, mean_motion=16.204 rev/day, cluster_mean_mean_motion=14.788, diff=1.416"
FSW-2 1 DEB,23280,PRC,0,LEO,0.47198066297056657,13.2551643,14.787722438177877,-1.5325581381778761,"FSW-2 1 DEB (NORAD 23280) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.472 deg, mean_motion=13.255 rev/day, cluster_mean_mean_motion=14.788, diff=-1.533"
CZ-3A R/B,23416,PRC,0,LEO,0.47653422698901976,16.26455937,14.787722438177877,1.476836931822124,"CZ-3A R/B (NORAD 23416) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.477 deg, mean_motion=16.265 rev/day, cluster_mean_mean_motion=14.788, diff=1.477"
CZ-2E R/B,23724,PRC,0,LEO,0.4887986556427839,16.269442080000005,14.787722438177877,1.481719641822128,"CZ-2E R/B (NORAD 23724) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.489 deg, mean_motion=16.269 rev/day, cluster_mean_mean_motion=14.788, diff=1.482"
CZ-2E R/B,23755,PRC,0,LEO,0.4886555386441204,16.307901,14.787722438177877,1.5201785618221244,"CZ-2E R/B (NORAD 23755) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.489 deg, mean_motion=16.308 rev/day, cluster_mean_mean_motion=14.788, diff=1.520"
CZ-3 R/B,23944,PRC,0,LEO,0.4636833677065855,15.84017001,14.787722438177877,1.052447571822123,"CZ-3 R/B (NORAD 23944) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.464 deg, mean_motion=15.840 rev/day, cluster_mean_mean_motion=14.788, diff=1.052"
CZ-3 R/B,24283,PRC,0,LEO,0.47470337660367773,15.97085072,14.787722438177877,1.183128281822123,"CZ-3 R/B (NORAD 24283) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.475 deg, mean_motion=15.971 rev/day, cluster_mean_mean_motion=14.788, diff=1.183"
FSW-2 3 DEB,24644,PRC,0,LEO,1.0974682696417903,15.88259486,14.787722438177877,1.0948724218221226,"FSW-2 3 DEB (NORAD 24644) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.097 deg, mean_motion=15.883 rev/day, cluster_mean_mean_motion=14.788, diff=1.095"
