OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH_DATE,inclination,eccentricity,mean_motion,cluster,cluster_mean_motion,orbit_type
CZ-4C DEB,43425,PRC,2015-08-27,1.7490572752765894,0.0142746,13.225067649999998,0,14.787722438177877,LEO
CZ-2D DEB,43426,PRC,2015-12-17,1.6975822796475208,0.0029983,15.90358303,0,14.787722438177877,LEO
SJ 16-02 DEB,43428,PRC,2016-06-29,1.3083843284282972,0.0249104,14.376702140000003,0,14.787722438177877,LEO
SJ 16-02 DEB,43429,PRC,2016-06-29,1.3083616391480213,0.0205303,14.48854896,0,14.787722438177877,LEO
CZ-4B DEB,43430,PRC,2017-06-15,0.7503798772854341,0.013577,14.88730016,0,14.787722438177877,LEO
CZ-4B DEB,43431,PRC,2017-06-15,0.7519262390027011,0.0125328,14.93367233,0,14.787722438177877,LEO
ZHUHAI-1 OHS-01,43439,PRC,2018-04-26,1.6943691284945992,0.0008076,16.30492845,0,14.787722438177877,LEO
ZHUHAI-1 OVS-02,43440,PRC,2018-04-26,1.6941666703013678,0.0002933,15.20147167,0,14.787722438177877,LEO
ZHUHAI-1 OHS-02,43441,PRC,2018-04-26,1.6942539367639675,0.0011518,15.27760699,0,14.787722438177877,LEO
ZHUHAI-1 OHS-03,43442,PRC,2018-04-26,1.6944476683109388,0.0011718,16.325428230000004,0,14.787722438177877,LEO
ZHUHAI-1 OHS-04,43443,PRC,2018-04-26,1.6944162523844029,0.0008097,16.33968525,0,14.787722438177877,LEO
CZ-11 R/B,43444,PRC,2018-04-26,1.6978266257427999,0.018835,16.14355828,0,14.787722438177877,LEO
APSTAR 6C,43450,PRC,2018-05-03,0.0008988445647770797,0.0002022,1.00271858,1,0.9983499662585034,GEO
CZ-3B R/B,43451,PRC,2018-05-03,0.4631161356996874,0.0644641,15.14542879,0,14.787722438177877,LEO
GAOFEN-5,43461,PRC,2018-05-08,1.7176081874849036,7.35e-05,14.602204119999998,0,14.787722438177877,LEO
CZ-4C R/B,43462,PRC,2018-05-08,1.7139621946774874,0.0088648,14.86223449,0,14.787722438177877,LEO
QUEQIAO,43470,PRC,2018-05-20,0.4800004508834805,0.9658153,0.09844104000000001,-1,5.894403762666666,MEO
LONGJIANG 1,43471,PRC,2018-05-20,0.4800004508834805,0.9658153,0.09844104000000001,-1,5.894403762666666,MEO
LONGJIANG 2,43472,PRC,2018-05-20,0.4800004508834805,0.9658153,0.09844104000000001,-1,5.894403762666666,MEO
CZ-4C R/B,43473,PRC,2018-05-20,0.4305692358084971,0.9026227,0.0800184,-1,5.894403762666666,MEO
GAOFEN 6,43484,PRC,2018-06-02,1.7072461677158133,0.0013463,14.76552858,0,14.787722438177877,LEO
LUOJIA-1 01,43485,PRC,2018-06-02,1.70761966817574,0.0009802,14.854921009999998,0,14.787722438177877,LEO
CZ-2D R/B,43486,PRC,2018-06-02,1.703652534785957,0.0013513,14.922725800000002,0,14.787722438177877,LEO
CZ-2D DEB,43487,PRC,2018-06-02,1.7037886704676126,0.0026563,14.87312373,0,14.787722438177877,LEO
CZ-2D DEB,43490,PRC,2018-06-02,1.7146149478177333,0.0025962,14.920685710000003,0,14.787722438177877,LEO
FENGYUN 2H,43491,PRC,2018-06-05,0.03940429852227598,0.0002554,1.00271634,1,0.9983499662585034,GEO
